"person","text","word.num","dc","sf","wes","pol","rejk","lk","azx","mmm"
"Sampson","out.",261,0,0,0,0,0,0,0,0
"Sampson","quarrel,",262,0,0,0,0,0,0,0,0
"Sampson","I",263,0,0,0,0,0,0,0,0
"Sampson","will",264,0,0,0,0,0,0,0,0
"Sampson","back",265,0,0,0,0,0,0,0,0
"Sampson","thee.",266,0,0,0,0,0,0,0,0
"Gregory","How!",267,0,0,0,0,0,0,0,0
"Gregory","turn",268,0,0,0,0,0,0,0,0
"Gregory","thy",269,0,0,0,0,0,0,0,0
"Gregory","back",270,0,0,0,0,0,0,0,0
"Gregory","and",271,0,0,0,0,0,0,0,0
"Gregory","run?",272,0,0,0,0,0,0,0,0
"Sampson","Fear",273,0,0,0,0,0,0,0,0
"Sampson","me",274,0,0,0,0,0,0,0,0
"Sampson","not.",275,0,0,0,0,0,0,0,0
"Gregory","No,",276,0,0,0,0,0,0,0,0
"Gregory","marry;",277,0,0,0,0,0,0,0,0
"Gregory","I",278,0,0,0,0,0,0,0,0
"Gregory","fear",279,0,0,0,0,0,0,0,0
"Gregory","thee!",280,0,0,0,0,0,0,0,0
"Sampson","Let",281,0,0,0,0,0,0,0,0
"Sampson","us",282,0,0,0,0,0,0,0,0
"Sampson","take",283,0,0,0,0,0,0,0,0
"Sampson","the",284,0,0,0,0,0,0,0,0
"Sampson","law",285,0,0,0,0,0,0,0,0
"Sampson","of",286,0,0,0,0,0,0,0,0
"Sampson","our",287,0,0,0,0,0,0,0,0
"Sampson","sides;",288,0,0,0,0,0,0,0,0
"Sampson","let",289,0,0,0,0,0,0,0,0
"Sampson","them",290,0,0,0,0,0,0,0,0
"Sampson","begin.",291,0,0,0,0,0,0,0,0
"Gregory","I",292,0,0,0,0,0,0,0,0
"Gregory","will",293,0,0,0,0,0,0,0,0
"Gregory","frown",294,0,0,0,0,0,0,0,0
"Gregory","as",295,0,0,0,0,0,0,0,0
"Gregory","I",296,0,0,0,0,0,0,0,0
"Gregory","pass",297,0,0,0,0,0,0,0,0
"Gregory","by,",298,0,0,0,0,0,0,0,0
"Gregory","and",299,0,0,0,0,0,0,0,0
"Gregory","let",300,0,0,0,0,0,0,0,0
"Gregory","them",301,0,0,0,0,0,0,0,0
"Gregory","take",302,0,0,0,0,0,0,0,0
